fertilizer_name,type,ph,ec,nirtogen,phosphorus,potassium,calcium,magnesium,sulfur,iron,maganese,zinc,copper,boron,molybdenum,chlorine,nickel,cobalt,sodium,toxicity,temperature,solubility,role,remark
acetic acid,ph regulator,3.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,30.00, highly," ""Reduces soil pH and improves nutrient availability""",Dilute to 2-5% solutionand avoid contact with eyes/skin
silicic acid,ph regulator,4.50,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, medium," ""Provides silicon for plant strength""",Soluble form of siliconand may strengthen plant cell wallsand research application rates
sodium hydroxide,ph regulator,4.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Raises soil pH and supplies sodium""",Lyeand strong baseand not recommended for fertilizer use
calcium carbonate,ph ec regulator,7.50,0.00,0.00,0.00,0.00,400000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, low," ""Raises soil pH and provides calcium""",Liming materialand raises soil pHand apply according to soil test
citric acid,ph ec regulator,6.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,35.00, highly," ""Lowers soil pH and improves nutrient uptake""",Lowers soil pHand use cautiouslyand can damage plants in high concentrations
phosphoric acid,ph ec regulator,5.00,0.01,0.00,32000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00, neutral,40.00, highly," ""Supplies phosphorus and lowers soil pH""",Strong acidand use with extreme cautionand follow safety guidelines
potassium hydroxide,ph ec regulator,8.00,0.01,0.00,0.00,697000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Raises soil pH and supplies potassium""",Lyeand strong baseand not recommended for fertilizer use
sodium bicarbonate,ph ec regulator,4.50,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Lowers soil pH and supplies sodium""",Baking sodaand neutralizes soil acidityand use cautiously
sodium carbonate,ph ec regulator,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Supplies sodium and raises soil pH""",Soda ashand raises soil pHand not recommended for most plants
sulfuric acid,ph ec regulator,4.50,0.01,0.00,0.00,0.00,0.00,0.00,1000000.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,35.00, highly," ""Lowers soil pH and supplies sulfur""",Strong acidand use with extreme cautionand follow safety guidelines
alfalfa meal,Organic,6.50,0.00,25000.00,800.00,25000.00,22000.00,200.00,5000.00,50.00,2.00,70.00,2.00,20.00,0.20,0.00,1.00,0.20,50.00, low,35.00, insoluble," ""Enhances soil organic matter and nutrient content""",Broadcast before planting or till into soil
alfalfa meal tea,Organic,6.20,0.00,250.00,400.00,5000.00,5000.00,40.00,1000.00,10.00,1.00,100.00,1.00,2.00,0.04,0.00,0.10,0.10,5.00, neutral,35.00, highly," ""Provides a quick nutrient boost to plants""",Steep 1-2 lbs/gallon for a dayand dilute before use
azadirachtin,Organic,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,30.00, low," ""Natural insecticide for pest control""",Neem oil extractand organic insecticideand follow label instructions
bat guano,Organic,7.00,0.00,100000.00,15000.00,15000.00,1000.00,100.00,10000.00,200.00,0.00,120.00,3.00,20.00,0.50,0.00,0.30,0.30,0.00, high,35.00, medium," ""High nitrogen and phosphorus for growth""",Very high in nutrientsand wear glovesand use well-aged manure
bat guano tea,Organic,7.00,0.00,1000.00,7500.00,7500.00,250.00,20.00,5000.00,100.00,0.00,80.00,1.50,2.00,0.10,0.00,0.03,0.10,0.00, mild,35.00, highly," ""Quick-release nutrients from bat guano""",Steep 1 cup/gallon for a dayand dilute before use
blood and bone meal mix,organic,6.00,0.03,80000.00,10000.00,2000.00,2500.00,100.00,10000.00,300.00,0.00,90.00,2.00,5.00,0.10,0.00,0.80,0.50,0.00, high,35.00, low," ""High nitrogen and phosphorus for strong growth""",Organic source of Nand Pand and calciumand follow label rates
blood meal,organic,6.50,0.02,120000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,5.00,0.00,0.00,0.60,0.20,0.00, high,35.00, low," ""Rich nitrogen source for rapid growth""",High in nitrogenand use moderatelyand can attract pests
bone meal,organic,6.80,0.01,20000.00,20000.00,0.00,240000.00,0.00,0.00,0.00,0.00,60.00,1.00,5.00,0.00,0.00,0.20,0.10,0.00, mild,35.00, low," ""Provides phosphorus and calcium for roots""",Slow-release phosphorus sourceand good for root development
canola meal,organic,4.00,0.03,60000.00,5000.00,45000.00,7000.00,200.00,10000.00,20.00,5.00,150.00,2.00,20.00,0.30,0.00,0.40,0.10,50.00, low,35.00, insoluble," ""Adds organic matter and nutrients to soil""",Nitrogen sourceand slow-releaseand till into soil before planting
coconut coir,organic,7.00,0.02,0.00,0.00,0.00,100.00,100.00,0.00,10.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,35.00, insoluble," ""Improves soil structure and water retention""",Soil amendmentand improves drainage and aeration
coconut water,organic,6.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,35.00, highly," ""Contains growth hormones and nutrients""",Plant stimulantand dilute before useand research application rates
compost tea,organic,5.00,0.01,1000.00,1500.00,4000.00,500.00,200.00,0.00,100.00,5.00,20.00,1.00,1.00,0.50,0.00,0.70,0.20,5.00, low,35.00, highly," ""Microbial boost and nutrient supply""",Liquid nutrient supplementand dilute before useand beneficial for soil microbes
cottonseed meal,organic,6.00,0.02,60000.00,6000.00,40000.00,1000.00,200.00,0.00,50.00,5.00,20.00,5.00,20.00,0.10,0.00,0.90,0.20,20.00, low,35.00, insoluble," ""Adds organic matter and nitrogen""",Nitrogen sourceand slow-releaseand use moderately due to gossypol content
crab meal,organic,4.00,0.00,60000.00,4000.00,10000.00,150000.00,3000.00,5000.00,100.00,3.00,0.00,7.00,5.00,0.00,0.00,1.10,0.10,10.00, low,35.00, low," ""Source of chitin and nutrients""",Slow-release source of chitin and nutrientsand beneficial for soil microbes
earthworm castings tea,organic,5.50,0.00,500.00,1000.00,1000.00,2500.00,200.00,500.00,100.00,5.00,0.00,1.00,1.00,0.30,0.00,0.20,0.30,10.00, neutral,35.00, highly," ""Nutrient-rich organic fertilizer""",Liquid nutrient supplementand dilute before useand rich in microbes
earthworm humus,organic,5.00,0.00,10000.00,2000.00,2000.00,5000.00,200.00,0.00,500.00,5.00,0.00,1.00,1.00,0.30,0.00,0.50,0.40,10.00, low,35.00, low," ""Improves soil structure and fertility""",Soil amendmentand improves soil structure and fertility
feather meal,organic,6.00,0.01,120000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,0.00,0.00,0.40,0.10,0.00, high,35.00, low," ""Slow-release nitrogen source""",Slow-release nitrogen sourceand use moderately due to high nitrogen content
fish emulsion,organic,5.50,0.01,50000.00,10000.00,5000.00,5000.00,150.00,10000.00,500.00,2.00,10.00,2.00,5.00,0.00,0.00,0.00,0.20,0.00, mild,35.00, highly," ""High nitrogen and nutrient content""",Liquid organic fertilizerand dilute before useand follow label rates
green manure,organic,6.50,0.00,25000.00,4000.00,2500.00,5000.00,0.00,0.00,30.00,2.00,0.00,2.00,10.00,0.20,0.00,0.00,0.10,0.00, mild,35.00, low," ""Improves soil organic matter and nutrients""",Cover cropand adds nitrogen to soil when tilled under
humic acid,organic,4.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,40.00, low," ""Enhances nutrient uptake and soil health""",Soil amendmentand improves soil structure and nutrient holding capacity
insect frass,organic,4.50,0.03,20000.00,2000.00,5000.00,5000.00,200.00,0.00,100.00,2.00,0.00,3.00,5.00,0.20,0.00,0.00,0.20,0.00, low,35.00, low," ""Adds organic matter and nutrients""",Insect droppingsand organic matter that can decompose and release nutrients
karanja cake,organic,4.00,0.03,30000.00,3000.00,30000.00,2000.00,100.00,0.00,10.00,2.00,0.00,1.00,20.00,0.10,0.00,0.00,0.10,20.00, low,35.00, low," ""Adds nutrients and organic matter""",Neem seed cakeand organic insect repellentand follow label instructions
kelp meal,organic,5.50,0.03,10000.00,2000.00,8000.00,7000.00,500.00,10000.00,500.00,5.00,0.00,1.00,20.00,0.30,0.00,0.00,0.20,5.00, low,35.00, low," ""Supplies trace minerals and growth hormones""",Seaweed mealand source of micronutrients and organic matter
molasses,organic,4.50,0.02,0.00,0.00,30000.00,500.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,0.00,0.00,0.00,0.00,0.00, neutral,35.00, highly," ""Supplies sugars and micronutrients""",Carbohydrate sourceand feeds soil microbesand use diluted solution
mycorrhizal inoculants,organic,5.50,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,35.00, low," ""Enhances nutrient uptake through fungi""",Beneficial fungiand promotes nutrient uptakeand follow instructions
neem cake,organic,7.50,0.02,30000.00,2000.00,17000.00,2000.00,100.00,5000.00,10.00,2.00,0.00,1.00,10.00,0.30,0.00,0.00,0.10,10.00, low,35.00, low," ""Adds organic matter and repels pests""",Repels insectsand suppresses soilborne diseases
peat moss,organic,5.00,0.02,0.00,0.00,0.00,500.00,200.00,0.00,20.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00, neutral,35.00, low," ""Improves soil structure and water retention""",Soil amendmentand improves moisture retention and aerationand adjust pH if needed
peruvian seabird guano,organic,4.50,0.00,120000.00,32000.00,10000.00,1000.00,0.00,10000.00,300.00,0.00,0.00,2.00,20.00,0.10,0.00,0.00,0.20,0.00, high,35.00, medium," ""High nitrogen and phosphorus for growth""",Very high in nutrientsand wear glovesand use well-aged manure
rice hulls,organic,5.50,0.03,0.00,0.00,0.00,500.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,35.00, insoluble," ""Improves soil structure and aeration""",Organic matterand slow-release nutrientsand improves soil aeration
seaweed extract,organic,5.00,0.02,10000.00,2000.00,150000.00,5000.00,0.00,0.00,50.00,2.00,0.00,0.00,20.00,0.10,0.00,0.00,0.30,0.00, mild,35.00, low," ""Supplies trace minerals and growth hormones""",Liquid seaweed concentrateand source of micronutrients and growth stimulantsand dilute before use
seaweed extract tea,organic,8.50,0.03,100.00,1000.00,75000.00,1000.00,0.00,0.00,25.00,1.00,0.00,2.00,2.00,0.05,0.00,0.00,0.10,0.00, neutral,35.00, highly," ""Quick nutrient boost from seaweed""",Made from seaweed extractand dilute before useand beneficial for soil microbes
soybean meal,organic,5.50,0.00,70000.00,5000.00,28000.00,2000.00,200.00,0.00,50.00,5.00,20.00,0.00,10.00,0.20,0.00,0.00,0.20,10.00, low,35.00, insoluble," ""Adds organic matter and nitrogen""",Organic nitrogen sourceand slow-releaseand use moderately due to high nitrogen content
sugarcane molasses,organic,4.50,0.00,0.00,0.00,100000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00, neutral,35.00, highly," ""Supplies sugars and micronutrients""",Similar to molassesand carbohydrate source for soil microbesand dilute before use
vermicompost tea,organic,6.80,0.00,500.00,1500.00,3000.00,2500.00,200.00,500.00,100.00,2.00,0.00,0.00,1.00,0.20,0.00,0.00,0.20,5.00, neutral,35.00, highly," ""Nutrient-rich organic fertilizer""",Liquid nutrient supplementand dilute before useand rich in microbes and nutrients
vermiculite,organic,4.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, insoluble," ""Improves soil aeration and water retention""",Inert mineraland improves drainage and aeration
worm castings,organic,8.50,0.03,10000.00,2000.00,2000.00,5000.00,100.00,0.00,100.00,2.00,0.00,0.00,1.00,0.20,0.00,0.00,0.40,0.00, mild,35.00, low," ""Improves soil structure and fertility""",Castings of earthwormsand organic fertilizer rich in nutrients and microbes
perlite,mixed,7.50,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, insoluble," ""Improves soil aeration and drainage""",Inert volcanic rockand improves drainage and aeration
zeolite,mixed,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,5.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, insoluble," ""Enhances soil nutrient retention""",Hydrated aluminosilicate mineraland improves soil drainage and cation exchange capacity
aluminum silicate,Inorganic,6.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, insoluble," ""Improves soil structure and water retention""",Scratch into soil surfaceand light application rates
ammonium bicarbonate,Inorganic,7.80,0.03,170000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, high,40.00, highly," ""Provides nitrogen for plant growth""",Solubleand use in light watering for acid-loving plants
ammonium chloride,Inorganic,5.00,0.07,260000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,663000.00,0.00,0.00,0.00, high,45.00, highly," ""Supplies nitrogen and chlorine for plant health""",Solubleand use with cautionand can acidify soil
ammonium molybdate,Inorganic,6.50,0.07,110000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,540000.00,0.00,0.00,0.00,0.00, high,35.00, highly," ""Source of molybdenum for enzyme function""",Micronutrientand dilute welland foliar or soil application
ammonium nitrate,Inorganic,5.50,0.08,340000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, dangerous,50.00, highly," ""Fast-release nitrogen source for growth""",Highly solubleand use in moderationand can be caustic
ammonium phosphate,Inorganic,6.20,0.06,110000.00,23000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, high,45.00, medium," ""Provides nitrogen and phosphorus for root development""",Good source of N and Pand follow label rates
ammonium phosphite,Inorganic,6.50,0.06,110000.00,18000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, high,40.00, highly," ""Supplies phosphorus and aids disease resistance""",Fungal disease controland follow label rates for mixing
ammonium polyphosphate,inorganic,7.00,0.07,100000.00,24000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, high,45.00, highly," ""Provides sustained phosphorus release""",Slow-release fertilizerand incorporate into soil
ammonium sulfate,inorganic,5.20,0.08,210000.00,0.00,0.00,0.00,0.00,240000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, high,45.00, highly," ""Supplies nitrogen and sulfur for plant growth""",Acidifying fertilizerand use with caution around sensitive plants
ammonium tetraborate,inorganic,7.20,0.07,130000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110000.00,0.00,0.00,0.00,0.00,0.00, neutral,40.00, highly," ""Source of boron for cell wall strength""",Boron sourceand highly solubleand dilute well for foliar application
ammonium thiosulfate,inorganic,7.50,0.07,210000.00,0.00,0.00,0.00,0.00,260000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, high,45.00, highly," ""Supplies sulfur and improves soil pH""",Sulfur sourceand solubleand use for sulfur-deficient crops
azomite,inorganic,6.80,0.00,0.00,0.00,0.00,10000.00,10000.00,0.00,5000.00,10.00,6000.00,1.00,2000.00,20.00,0.00,2.00,0.10,0.00, neutral,50.00, insoluble," ""Supplies trace minerals for soil health""",Volcanic rock dustand slow-release source of minerals
basalt dust,inorganic,6.50,0.00,0.00,0.00,0.00,0.00,8000.00,0.00,2000.00,5.00,300.00,1.00,200.00,0.00,0.00,0.50,0.20,0.00, neutral,50.00, insoluble," ""Improves soil structure and mineral content""",Volcanic rock dustand slow-release source of minerals
borax,inorganic,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110000.00,0.00,0.00,0.00,0.00,0.00, low,45.00, highly," ""Supplies boron for cell wall development""",Boron sourceand solubleand follow label rates to avoid toxicity
boric acid,inorganic,4.50,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170000.00,0.00,0.00,0.00,0.00,0.00, low,50.00, medium," ""Source of boron for plant health""",Boron sourceand solubleand follow label rates to avoid toxicity
boric acid ammonium,inorganic,5.00,0.02,110000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170000.00,0.00,0.00,0.00,0.00,0.00, neutral,40.00, highly," ""Supplies boron and nitrogen""",Soluble boron sourceand use with cautionand can damage foliage
boric acid potassium,inorganic,6.20,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170000.00,0.00,0.00,0.00,0.00,0.00, neutral,40.00, highly," ""Provides boron and potassium""",Soluble boron sourceand use with cautionand can damage foliage
boron nitrate,inorganic,6.80,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170000.00,0.00,0.00,0.00,0.00,0.00, neutral,40.00, highly," ""Source of boron for enzyme function""",Soluble boron sourceand highly solubleand dilute well for foliar application
boron oxide,inorganic,5.50,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, medium," ""Supplies boron for growth processes""",Very solubleand use extreme caution due to high toxicity
