fertilizer_name,type,ph,ec,nirtogen,phosphorus,potassium,calcium,magnesium,sulfur,iron,maganese,zinc,copper,boron,molybdenum,chlorine,nickel,cobalt,sodium,toxicity,temperature,solubility,role,remark
manganese phosphate,inorganic,6.80,0.01,0.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, low," ""Provides manganese and phosphorus""",Insoluble in waterand slow-release manganese source
manganese sulfate,inorganic,6.00,0.00,0.00,0.00,0.00,0.00,0.00,200000.00,0.00,310000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, low,50.00, highly," ""Source of manganese for enzyme function""",Micronutrientand solubleand follow label rates to avoid toxicity
molybdenum carbonate,inorganic,5.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,390000.00,0.00,0.00,0.00,0.00, neutral,50.00, medium," ""Source of molybdenum for enzyme function""",Micronutrientand insoluble in waterand use as soil amendment
molybdenum chelate,inorganic,5.50,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,700000.00,0.00,0.00,0.00,0.00, neutral,40.00, highly," ""Easily absorbed molybdenum source""",Soluble molybdenum sourceand improves micronutrient uptakeand research application rates
molybdenum nitrate,inorganic,5.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,630000.00,0.00,0.00,0.00,0.00, low,40.00, highly," ""Provides molybdenum and nitrogen""",Micronutrientand solubleand follow label rates to avoid toxicity
molybdenum oxide,inorganic,6.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,660000.00,0.00,0.00,0.00,0.00, neutral,50.00, low," ""Source of molybdenum for plant growth""",Insoluble in waterand use as soil amendment
molybdenum phosphate,inorganic,5.50,0.02,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300000.00,0.00,0.00,0.00,0.00, neutral,50.00, low," ""Provides molybdenum and phosphorus""",Insoluble in waterand slow-release molybdenum source
molybdenum sulfate,inorganic,5.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,530000.00,0.00,0.00,0.00,0.00, low,50.00, highly," ""Supplies molybdenum for enzyme activity""",Micronutrientand solubleand follow label rates to avoid toxicity
monoammonium phosphate,inorganic,5.00,0.00,120000.00,52000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, high,45.00, highly," ""Provides nitrogen and phosphorus""",MAPand good source of P with some Nand follow label rates
monopotassium phosphate,inorganic,4.50,0.02,0.00,23000.00,340000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,45.00, highly," ""Source of potassium and phosphorus""",Mureate of Potashand good source of K with some Pand follow label rates
nickel acetate,inorganic,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00, low,40.00, highly," ""Source of nickel for enzyme function""",Micronutrientand solubleand follow label rates to avoid toxicity
nickel carbonate,inorganic,5.50,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00, low,50.00, low," ""Provides nickel for plant health""",Micronutrientand insoluble in waterand use as soil amendment
nickel chloride,inorganic,6.50,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,0.00, low,50.00, highly," ""Supplies nickel for enzyme processes""",Micronutrientand solubleand follow label rates to avoid toxicity
nickel citrate,inorganic,6.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00, neutral,40.00, medium," ""Easily absorbed nickel source""",Chelated nickeland improves micronutrient uptakeand research application rates
nickel edta,inorganic,7.50,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,0.00,0.00, low,40.00, highly," ""Stable nickel source for plants""",Chelated nickeland improves micronutrient uptakeand follow label rates
nickel hydroxide,inorganic,5.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00, low,50.00, low," ""Source of nickel for growth processes""",Insoluble in waterand use as soil amendment
nickel nitrate,inorganic,5.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,0.00,0.00, low,40.00, highly," ""Provides nickel and nitrogen""",Micronutrientand solubleand follow label rates to avoid toxicity
nickel oxide,inorganic,4.50,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.10,0.00,0.00, neutral,50.00, insoluble," ""Supplies nickel for enzyme function""",Insoluble in waterand use as soil amendment
nickel phosphate,inorganic,4.50,0.00,0.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00, neutral,50.00, low," ""Provides nickel and phosphorus""",Insoluble in waterand slow-release nickel source
nickel sulfate,inorganic,6.00,0.00,0.00,0.00,0.00,0.00,0.00,180000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00, low,50.00, highly," ""Source of nickel for enzyme activity""",Micronutrientand solubleand follow label rates to avoid toxicity
potassium acetate,inorganic,7.00,0.02,0.00,0.00,40000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,45.00, highly," ""Provides potassium for plant health""",Soluble potassium sourceand use with cautionand can raise soil pH
potassium bicarbonate,inorganic,7.00,0.02,0.00,0.00,498000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Supplies potassium and raises soil pH""",Soluble potassium sourceand fungicideand follow label rates
potassium chloride,inorganic,7.00,0.02,0.00,0.00,524000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,476000.00,0.00,0.00,0.00, neutral,50.00, highly," ""Source of potassium for plant growth""",Muriate of Potashand most common potassium fertilizerand follow label rates
potassium hypochlorite,inorganic,5.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Provides potassium and controls pathogens""",Bleachand not recommended for fertilizer use
potassium molybdate,inorganic,7.50,0.02,0.00,0.00,46000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,460000.00,0.00,0.00,0.00,0.00, neutral,45.00, highly," ""Source of potassium and molybdenum""",Micronutrientand solubleand follow label rates to avoid toxicity
potassium nitrate,inorganic,6.50,0.02,130000.00,0.00,380000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, high,50.00, highly," ""Provides potassium and nitrogen""",Saltpeterand soluble source of K and Nand follow label rates
potassium phosphate,inorganic,6.80,0.02,0.00,23000.00,230000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,45.00, highly," ""Source of potassium and phosphorus""",Soluble source of K and Pand good for immediate nutrient needs
potassium polyphosphate,inorganic,5.50,0.03,0.00,24000.00,230000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,45.00, highly," ""Provides sustained potassium release""",Slow-release source of potassiumand follow label rates
potassium silicate,inorganic,8.50,0.02,0.00,0.00,120000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Supplies potassium and improves soil structure""",Soluble silicate sourceand may strengthen plant cell wallsand research application rates
potassium thiosulfate,inorganic,4.50,0.02,0.00,0.00,370000.00,0.00,0.00,270000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,45.00, highly," ""Supplies potassium and sulfur""",Soluble thiosulfate sourceand may improve sulfur uptakeand research application rates
rock phosphate,inorganic,8.00,0.03,0.00,13000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, low," ""Slow-release phosphorus source""",Insoluble phosphorus sourceand requires grinding or composting for better availability
salicylic acid,inorganic,7.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,30.00, low," ""Enhances plant defense mechanisms""",Plant signaling compoundand research application rates for specific effects
silica gel,inorganic,6.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, low," ""Improves soil structure and water retention""",Inert desiccantand not recommended for fertilizer use
silicate rock dust,inorganic,5.50,0.01,0.00,0.00,0.00,0.00,200000.00,0.00,2000.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00, neutral,50.00, insoluble," ""Adds trace minerals to soil""",Slow-release source of silicon and other minerals
sodium acetate,inorganic,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,45.00, highly," ""Source of sodium for plant processes""",Soluble sodium sourceand can be harmful to some plantsand use with caution
sodium chloride,inorganic,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600000.00,0.00,0.00,0.00, low,50.00, highly," ""Source of sodium for plant health""",Table saltand can be harmful to plants in high concentrationsand use sparingly
sodium hypochlorite,inorganic,5.50,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Provides sodium and controls pathogens""",Bleachand not recommended for fertilizer use
sodium molybdate,inorganic,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,450000.00,0.00,0.00,0.00,391000.00, neutral,45.00, highly," ""Source of sodium and molybdenum""",Micronutrientand solubleand follow label rates to avoid toxicity
sodium nitrate,inorganic,5.50,0.01,160000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161000.00, high,50.00, highly," ""Provides sodium and nitrogen""",Chilean saltpeterand source of sodium and nitrogenand use with caution due to high salt content
sodium phosphate,inorganic,4.50,0.03,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Supplies sodium and phosphorus""",Soluble source of phosphorusand can be high in sodiumand use with care
sodium silicate,inorganic,6.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,276000.00, neutral,50.00, highly," ""Provides sodium and silicon""",Soluble silicate sourceand may improve plant stress toleranceand research application rates
sodium sulfate,inorganic,4.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142000.00, neutral,50.00, highly," ""Source of sodium and sulfur""",Glauber's saltand can improve soil drainageand use cautiously
sodium thiosulfate,inorganic,5.50,0.03,0.00,0.00,0.00,0.00,0.00,240000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157000.00, neutral,45.00, highly," ""Supplies sodium and sulfur""",Soluble thiosulfate sourceand may improve sulfur uptakeand research application rates
solubor,inorganic,5.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200000.00,0.00,0.00,0.00,0.00,0.00, neutral,45.00, highly," ""Provides boron for plant growth""",Soluble boron fertilizerand follow label rates to avoid plant damage
urea,inorganic,4.50,0.03,460000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, dangerous,45.00, highly," ""High nitrogen source for rapid growth""",Synthetic organic nitrogen fertilizerand readily available nitrogen sourceand follow label rates
zinc acetate,inorganic,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300000.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00, low,40.00, highly," ""Source of zinc for enzyme function""",Micronutrientand solubleand follow label rates to avoid toxicity
zinc carbonate,inorganic,4.50,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,520000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, low,50.00, low," ""Provides zinc for plant health""",Micronutrientand insoluble in waterand use as soil amendment
zinc chloride,inorganic,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,480000.00,0.00,0.00,0.00,475000.00,0.00,0.00,0.00, low,50.00, highly," ""Supplies zinc for enzyme activity""",Micronutrientand solubleand follow label rates to avoid toxicity
zinc citrate,inorganic,5.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,310000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,40.00, medium," ""Easily absorbed zinc source""",Chelated zincand improves micronutrient uptakeand research application rates
zinc edta,inorganic,5.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, low,40.00, highly," ""Stable zinc source for plants""",Chelated zincand improves micronutrient uptakeand follow label rates
zinc gluconate,inorganic,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,40.00, medium," ""Easily absorbed zinc for plants""",Micronutrientand solubleand follow label rates to avoid toxicity
zinc nitrate,inorganic,5.50,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, low,40.00, highly," ""Provides zinc and nitrogen""",Micronutrientand solubleand follow label rates to avoid toxicity
zinc oxide,inorganic,6.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,490000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, low," ""Source of zinc for plant growth""",Micronutrientand insoluble in waterand use as soil amendment
zinc phosphate,inorganic,4.50,0.02,0.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,250000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, low," ""Provides zinc and phosphorus""",Micronutrientand insoluble in waterand slow-release zinc source
zinc sulfate,inorganic,5.00,0.02,0.00,0.00,0.00,0.00,0.00,180000.00,0.00,0.00,360000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, low,50.00, highly," ""Source of zinc for enzyme function""",Micronutrientand solubleand most common zinc fertilizerand follow label rates
abscisic acid,growth regulator,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,25.00, low," ""Regulates plant growth and stress response""",Wear glovesand maskand dilute well for foliar application
auxins,growth regulator,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,25.00, low," ""Promotes root and shoot development""",Plant hormoneand use with extreme caution due to potency
betaines,growth regulator,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,30.00, highly," ""Enhances plant stress tolerance""",Osmoprotectantand research application rates for specific crops
brassinosteroids,growth regulator,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,25.00, low," ""Promotes overall plant growth and health""",Plant hormoneand research application rates for specific crops
cytokinins,growth regulator,5.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,25.00, low," ""Promotes cell division and growth""",Plant hormoneand research application rates for specific cropsand can be potent
ethylene,growth regulator,7.50,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,30.00, highly," ""Regulates fruit ripening and growth""",Gaseous plant hormoneand research application rates for specific ripening effects
gibberellins,growth regulator,6.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,25.00, low," ""Promotes stem elongation and growth""",Plant hormoneand promotes growthand research application rates for specific crops
jasmonic acid,growth regulator,6.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,25.00, low," ""Regulates plant stress and defense""",Plant signaling compoundand research application rates for specific effects
polyamines,growth regulator,5.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,30.00, low," ""Promotes plant growth and stress tolerance""",Improves plant stress toleranceand research application rates for specific crops
strigolactones,growth regulator,4.50,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,25.00, low," ""Regulates plant growth and symbiosis""",Plant signaling compoundand research application rates for specific effects
dolomite lime,ec regulator,7.50,0.00,0.00,0.00,0.00,200000.00,120000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, low," ""Raises soil pH and supplies magnesium""",Liming materialand raises soil magnesium and calcium levelsand follow soil test
epsom salt,ec regulator,4.00,0.02,0.00,0.00,0.00,0.00,99600.00,130000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Provides magnesium and sulfur""",Magnesium sulfateand source of magnesiumand follow label rates to avoid toxicity
magnesium sulfate,ec regulator,4.50,0.02,0.00,0.00,0.00,0.00,99600.00,130000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Provides magnesium and sulfur""",Epsom saltand source of magnesiumand follow label rates to avoid toxicity
nitric acid,ec regulator,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,35.00, highly," ""Lowers soil pH and supplies nitrogen""",Strong acidand not recommended for fertilizer use
potassium carbonate,ec regulator,4.50,0.02,0.00,0.00,561000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Provides potassium and improves soil""",Pottashand soluble potassium sourceand can raise soil pH
potassium sulfate,ec regulator,6.80,0.03,0.00,0.00,430000.00,0.00,0.00,180000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Provides potassium and sulfur""",Sulfate of Potashand soluble source of K and sulfurand follow label rates
