fertilizer_name,type,ph,ec,nitrogen,phosphorus,potassium,calcium,magnesium,sulfur,copper,chlorine,boron,iron,zinc,manganese,molybdenum,nickel,cobalt,sodium,toxicity,temperature,solubility,role,remark
acetic acid,ph regulator,3,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,30, highly," ""Reduces soil pH and improves nutrient availability""",Dilute to 2-5% solutionand avoid contact with eyes/skin
iron iii chloride,inorganic,3,0.02,0,0,0,0,0,0,0,0,0,210000,0,0,0,0,0,0, neutral,50, highly," ""Provides iron for enzyme function""",Soluble iron sourceand can be corrosiveand handle with care
abscisic acid,growth regulator,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,25, low," ""Regulates plant growth and stress response""",Wear glovesand maskand dilute well for foliar application
canola meal,organic,4,0.03,60000,5000,45000,7000,200,10000,2,0,20,20,150,5,0.3,0.4,0.1,50, low,35, insoluble," ""Adds organic matter and nutrients to soil""",Nitrogen sourceand slow-releaseand till into soil before planting
crab meal,organic,4,0,60000,4000,10000,150000,3000,5000,7,0,5,100,0,3,0,1.1,0.1,10, low,35, low," ""Source of chitin and nutrients""",Slow-release source of chitin and nutrientsand beneficial for soil microbes
karanja cake,organic,4,0.03,30000,3000,30000,2000,100,0,1,0,20,10,0,2,0.1,0,0.1,20, low,35, low," ""Adds nutrients and organic matter""",Neem seed cakeand organic insect repellentand follow label instructions
epsom salt,ec regulator,4,0.02,0,0,0,0,99600,130000,0,0,0,0,0,0,0,0,0,0, neutral,50, highly," ""Provides magnesium and sulfur""",Magnesium sulfateand source of magnesiumand follow label rates to avoid toxicity
vermiculite,organic,4,0.02,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0, neutral,50, insoluble," ""Improves soil aeration and water retention""",Inert mineraland improves drainage and aeration
humic acid,organic,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,40, low," ""Enhances nutrient uptake and soil health""",Soil amendmentand improves soil structure and nutrient holding capacity
iron phosphate,inorganic,4,0.03,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0, neutral,50, low," ""Provides iron and phosphorus""",Insoluble in waterand slow-release iron source
brassinosteroids,growth regulator,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,25, low," ""Promotes overall plant growth and health""",Plant hormoneand research application rates for specific crops
urea,inorganic,4.5,0.03,460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, dangerous,45, highly," ""High nitrogen source for rapid growth""",Synthetic organic nitrogen fertilizerand readily available nitrogen sourceand follow label rates
magnesium nitrate,inorganic,4.5,0,110000,0,0,0,110000,0,0,0,0,0,0,0,0,0,0,0, high,45, highly," ""Provides magnesium and nitrogen""",Soluble source of magnesium and nitrogenand follow label rates
peruvian seabird guano,organic,4.5,0,120000,32000,10000,1000,0,10000,2,0,20,300,0,0,0.1,0,0.2,0, high,35, medium," ""High nitrogen and phosphorus for growth""",Very high in nutrientsand wear glovesand use well-aged manure
iron nitrate,inorganic,4.5,0.02,0,0,0,0,0,0,0,0,0,190000,0,0,0,0,0,0, low,40, highly," ""Supplies iron and nitrogen""",Soluble iron sourceand highly solubleand dilute well for foliar application
manganese acetate,inorganic,4.5,0.02,0,0,0,0,0,0,0,0,0,0,0,210000,0,0,0,0, low,40, highly," ""Source of manganese for enzyme function""",Micronutrientand solubleand follow label rates to avoid toxicity
manganese nitrate,inorganic,4.5,0.03,0,0,0,0,0,0,0,0,0,0,0,312000,0,0,0,0, low,40, highly," ""Provides manganese and nitrogen""",Micronutrientand solubleand follow label rates to avoid toxicity
sodium chloride,inorganic,4.5,0,0,0,0,0,0,0,0,600000,0,0,0,0,0,0,0,0, low,50, highly," ""Source of sodium for plant health""",Table saltand can be harmful to plants in high concentrationsand use sparingly
insect frass,organic,4.5,0.03,20000,2000,5000,5000,200,0,3,0,5,100,0,2,0.2,0,0.2,0, low,35, low," ""Adds organic matter and nutrients""",Insect droppingsand organic matter that can decompose and release nutrients
zinc carbonate,inorganic,4.5,0.02,0,0,0,0,0,0,0,0,0,0,520000,0,0,0,0,0, low,50, low," ""Provides zinc for plant health""",Micronutrientand insoluble in waterand use as soil amendment
boric acid,inorganic,4.5,0.02,0,0,0,0,0,0,0,0,170000,0,0,0,0,0,0,0, low,50, medium," ""Source of boron for plant health""",Boron sourceand solubleand follow label rates to avoid toxicity
sodium hydroxide,ph regulator,4.5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, highly," ""Raises soil pH and supplies sodium""",Lyeand strong baseand not recommended for fertilizer use
sodium bicarbonate,ph ec regulator,4.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, highly," ""Lowers soil pH and supplies sodium""",Baking sodaand neutralizes soil acidityand use cautiously
sulfuric acid,ph ec regulator,4.5,0.01,0,0,0,0,0,1000000,1,0,0,0,0,0,0,0,0,0, neutral,35, highly," ""Lowers soil pH and supplies sulfur""",Strong acidand use with extreme cautionand follow safety guidelines
molasses,organic,4.5,0.02,0,0,30000,500,0,0,1,0,5,0,0,0,0,0,0,0, neutral,35, highly," ""Supplies sugars and micronutrients""",Carbohydrate sourceand feeds soil microbesand use diluted solution
sugarcane molasses,organic,4.5,0,0,0,100000,0,0,0,0,0,5,0,0,0,0,0,0,0, neutral,35, highly," ""Supplies sugars and micronutrients""",Similar to molassesand carbohydrate source for soil microbesand dilute before use
monopotassium phosphate,inorganic,4.5,0.02,0,23000,340000,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,45, highly," ""Source of potassium and phosphorus""",Mureate of Potashand good source of K with some Pand follow label rates
potassium thiosulfate,inorganic,4.5,0.02,0,0,370000,0,0,270000,0,0,0,0,0,0,0,0,0,0, neutral,45, highly," ""Supplies potassium and sulfur""",Soluble thiosulfate sourceand may improve sulfur uptakeand research application rates
sodium phosphate,inorganic,4.5,0.03,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, highly," ""Supplies sodium and phosphorus""",Soluble source of phosphorusand can be high in sodiumand use with care
sodium sulfate,inorganic,4.5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142000, neutral,50, highly," ""Source of sodium and sulfur""",Glauber's saltand can improve soil drainageand use cautiously
magnesium sulfate,ec regulator,4.5,0.02,0,0,0,0,99600,130000,0,0,0,0,0,0,0,0,0,0, neutral,50, highly," ""Provides magnesium and sulfur""",Epsom saltand source of magnesiumand follow label rates to avoid toxicity
potassium carbonate,ec regulator,4.5,0.02,0,0,561000,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, highly," ""Provides potassium and improves soil""",Pottashand soluble potassium sourceand can raise soil pH
iron oxide,inorganic,4.5,0.02,0,0,0,0,0,0,0,0,0,200000,0,0,0,0,0,0, neutral,50, insoluble," ""Source of iron for plant growth""",Insoluble in waterand use as soil amendment
manganese oxide,inorganic,4.5,0,0,0,0,0,0,0,0,0,0,0,0,550000,0,0,0,0, neutral,50, insoluble," ""Supplies manganese for plant processes""",Insoluble in waterand use as soil amendment
nickel oxide,inorganic,4.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0, neutral,50, insoluble," ""Supplies nickel for enzyme function""",Insoluble in waterand use as soil amendment
gypsum,inorganic,4.5,0.03,0,0,0,230000,0,180000,0,0,0,0,0,0,0,0,0,0, neutral,50, low," ""Improves soil structure and provides calcium""",Calcium sulfateand improves soil drainageand can be used as calcium source
magnesium hydroxide,inorganic,4.5,0.01,0,0,0,0,415000,0,0,0,0,0,0,0,0,0,0,0, neutral,50, low," ""Supplies magnesium and raises soil pH""",Milk of magnesiaand not recommended for fertilizer use
nickel phosphate,inorganic,4.5,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,2,0,0, neutral,50, low," ""Provides nickel and phosphorus""",Insoluble in waterand slow-release nickel source
zinc phosphate,inorganic,4.5,0.02,0,2000,0,0,0,0,0,0,0,0,250000,0,0,0,0,0, neutral,50, low," ""Provides zinc and phosphorus""",Micronutrientand insoluble in waterand slow-release zinc source
strigolactones,growth regulator,4.5,0.01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0, neutral,25, low," ""Regulates plant growth and symbiosis""",Plant signaling compoundand research application rates for specific effects
silicic acid,ph regulator,4.5,0.02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, neutral,50, medium," ""Provides silicon for plant strength""",Soluble form of siliconand may strengthen plant cell wallsand research application rates
ammonium chloride,inorganic,5,0.07,260000,0,0,0,0,0,0,663000,0,0,0,0,0,0,0,0, high,45, highly," ""Supplies nitrogen and chlorine for plant health""",Solubleand use with cautionand can acidify soil
monoammonium phosphate,inorganic,5,0,120000,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0, high,45, highly," ""Provides nitrogen and phosphorus""",MAPand good source of P with some Nand follow label rates
compost tea,organic,5,0.01,1000,1500,4000,500,200,0,1,0,1,100,20,5,0.5,0.7,0.2,5, low,35, highly," ""Microbial boost and nutrient supply""",Liquid nutrient supplementand dilute before useand beneficial for soil microbes
copper chelate,inorganic,5,0,0,0,0,0,0,0,140000,0,0,0,0,0,0,0,0,0, low,40, highly," ""Easily absorbed copper source""",Soluble copper sourceand lessens soil bindingand good for correcting deficiencies
molybdenum nitrate,inorganic,5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,630000,0,0,0, low,40, highly," ""Provides molybdenum and nitrogen""",Micronutrientand solubleand follow label rates to avoid toxicity
zinc sulfate,inorganic,5,0.02,0,0,0,0,0,180000,0,0,0,0,360000,0,0,0,0,0, low,50, highly," ""Source of zinc for enzyme function""",Micronutrientand solubleand most common zinc fertilizerand follow label rates
earthworm humus,organic,5,0,10000,2000,2000,5000,200,0,1,0,1,500,0,5,0.3,0.5,0.4,10, low,35, low," ""Improves soil structure and fertility""",Soil amendmentand improves soil structure and fertility
seaweed extract,organic,5,0.02,10000,2000,150000,5000,0,0,0,0,20,50,0,2,0.1,0,0.3,0, mild,35, low," ""Supplies trace minerals and growth hormones""",Liquid seaweed concentrateand source of micronutrients and growth stimulantsand dilute before use
phosphoric acid,ph ec regulator,5,0.01,0,32000,0,0,0,0,0,0,0,0,0,0,,0,0,0, neutral,40, highly," ""Supplies phosphorus and lowers soil pH""",Strong acidand use with extreme cautionand follow safety guidelines
boric acid ammonium,inorganic,5,0.02,110000,0,0,0,0,0,0,0,170000,0,0,0,0,0,0,0, neutral,40, highly," ""Supplies boron and nitrogen""",Soluble boron sourceand use with cautionand can damage foliage
sodium acetate,inorganic,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,45, highly," ""Source of sodium for plant processes""",Soluble sodium sourceand can be harmful to some plantsand use with caution
peat moss,organic,5,0.02,0,0,0,500,200,0,0,0,1,20,0,0,0,0,0,0, neutral,35, low," ""Improves soil structure and water retention""",Soil amendmentand improves moisture retention and aerationand adjust pH if needed
cytokinins,growth regulator,5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,25, low," ""Promotes cell division and growth""",Plant hormoneand research application rates for specific cropsand can be potent
polyamines,growth regulator,5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,30, low," ""Promotes plant growth and stress tolerance""",Improves plant stress toleranceand research application rates for specific crops
ammonium sulfate,inorganic,5.2,0.08,210000,0,0,0,0,240000,0,0,0,0,0,0,0,0,0,0, high,45, highly," ""Supplies nitrogen and sulfur for plant growth""",Acidifying fertilizerand use with caution around sensitive plants
ammonium nitrate,inorganic,5.5,0.08,340000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, dangerous,50, highly," ""Fast-release nitrogen source for growth""",Highly solubleand use in moderationand can be caustic
sodium nitrate,inorganic,5.5,0.01,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161000, high,50, highly," ""Provides sodium and nitrogen""",Chilean saltpeterand source of sodium and nitrogenand use with caution due to high salt content
borax,inorganic,5.5,0,0,0,0,0,0,0,0,0,110000,0,0,0,0,0,0,0, low,45, highly," ""Supplies boron for cell wall development""",Boron sourceand solubleand follow label rates to avoid toxicity
copper sulfate,inorganic,5.5,0.02,0,0,0,0,0,200000,250000,0,0,0,0,0,0,0,0,0, low,50, highly," ""Provides copper for enzyme activity""",Fungicideand solubleand follow label rates to avoid phytotoxicity
molybdenum sulfate,inorganic,5.5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,530000,0,0,0, low,50, highly," ""Supplies molybdenum for enzyme activity""",Micronutrientand solubleand follow label rates to avoid toxicity
nickel acetate,inorganic,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0, low,40, highly," ""Source of nickel for enzyme function""",Micronutrientand solubleand follow label rates to avoid toxicity
nickel nitrate,inorganic,5.5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0, low,40, highly," ""Provides nickel and nitrogen""",Micronutrientand solubleand follow label rates to avoid toxicity
zinc edta,inorganic,5.5,0.03,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0, low,40, highly," ""Stable zinc source for plants""",Chelated zincand improves micronutrient uptakeand follow label rates
zinc nitrate,inorganic,5.5,0.02,0,0,0,0,0,0,0,0,0,0,230000,0,0,0,0,0, low,40, highly," ""Provides zinc and nitrogen""",Micronutrientand solubleand follow label rates to avoid toxicity
soybean meal,organic,5.5,0,70000,5000,28000,2000,200,0,0,0,10,50,20,5,0.2,0,0.2,10, low,35, insoluble," ""Adds organic matter and nitrogen""",Organic nitrogen sourceand slow-releaseand use moderately due to high nitrogen content
kelp meal,organic,5.5,0.03,10000,2000,8000,7000,500,10000,1,0,20,500,0,5,0.3,0,0.2,5, low,35, low," ""Supplies trace minerals and growth hormones""",Seaweed mealand source of micronutrients and organic matter
manganese carbonate,inorganic,5.5,0.02,0,0,0,0,0,0,0,0,0,0,0,480000,0,0,0,0, low,50, low," ""Provides manganese for plant health""",Micronutrientand insoluble in waterand use as soil amendment
nickel carbonate,inorganic,5.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0, low,50, low," ""Provides nickel for plant health""",Micronutrientand insoluble in waterand use as soil amendment
nickel hydroxide,inorganic,5.5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0, low,50, low," ""Source of nickel for growth processes""",Insoluble in waterand use as soil amendment
fish emulsion,organic,5.5,0.01,50000,10000,5000,5000,150,10000,2,0,5,500,10,2,0,0,0.2,0, mild,35, highly," ""High nitrogen and nutrient content""",Liquid organic fertilizerand dilute before useand follow label rates
sodium carbonate,ph ec regulator,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, highly," ""Supplies sodium and raises soil pH""",Soda ashand raises soil pHand not recommended for most plants
earthworm castings tea,organic,5.5,0,500,1000,1000,2500,200,500,1,0,1,100,0,5,0.3,0.2,0.3,10, neutral,35, highly," ""Nutrient-rich organic fertilizer""",Liquid nutrient supplementand dilute before useand rich in microbes
granubor,inorganic,5.5,0,0,0,0,0,0,0,0,0,200000,0,0,0,0,0,0,0, neutral,45, highly," ""Provides boron for plant growth""",Granular boron fertilizerand solubleand follow label rates to avoid toxicity
molybdenum chelate,inorganic,5.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,700000,0,0,0, neutral,40, highly," ""Easily absorbed molybdenum source""",Soluble molybdenum sourceand improves micronutrient uptakeand research application rates
potassium hypochlorite,inorganic,5.5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, highly," ""Provides potassium and controls pathogens""",Bleachand not recommended for fertilizer use
potassium polyphosphate,inorganic,5.5,0.03,0,24000,230000,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,45, highly," ""Provides sustained potassium release""",Slow-release source of potassiumand follow label rates
sodium hypochlorite,inorganic,5.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, highly," ""Provides sodium and controls pathogens""",Bleachand not recommended for fertilizer use
sodium thiosulfate,inorganic,5.5,0.03,0,0,0,0,0,240000,0,0,0,0,0,0,0,0,0,157000, neutral,45, highly," ""Supplies sodium and sulfur""",Soluble thiosulfate sourceand may improve sulfur uptakeand research application rates
solubor,inorganic,5.5,0.03,0,0,0,0,0,0,0,0,200000,0,0,0,0,0,0,0, neutral,45, highly," ""Provides boron for plant growth""",Soluble boron fertilizerand follow label rates to avoid plant damage
nitric acid,ec regulator,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,35, highly," ""Lowers soil pH and supplies nitrogen""",Strong acidand not recommended for fertilizer use
rice hulls,organic,5.5,0.03,0,0,0,500,0,0,0,0,0,10,0,0,0,0,0,0, neutral,35, insoluble," ""Improves soil structure and aeration""",Organic matterand slow-release nutrientsand improves soil aeration
zeolite,mixed,5.5,0,0,0,0,0,0,0,3,0,0,20,0,5,0,0,0,0, neutral,50, insoluble," ""Enhances soil nutrient retention""",Hydrated aluminosilicate mineraland improves soil drainage and cation exchange capacity
granite meal,inorganic,5.5,0,0,0,0,0,0,0,1,0,0,50,0,0,0,0,0.2,0, neutral,50, insoluble," ""Adds trace minerals to soil""",Slow-release source of mineralsand improves soil drainage and aeration
silicate rock dust,inorganic,5.5,0.01,0,0,0,0,200000,0,0,0,0,2000,0,2,0,0,0.2,0, neutral,50, insoluble," ""Adds trace minerals to soil""",Slow-release source of silicon and other minerals
mycorrhizal inoculants,organic,5.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,35, low," ""Enhances nutrient uptake through fungi""",Beneficial fungiand promotes nutrient uptakeand follow instructions
magnesium phosphate,inorganic,5.5,0.02,0,2000,0,0,200000,0,0,0,0,0,0,0,0,0,0,0, neutral,50, low," ""Provides magnesium and phosphorus""",Insoluble in waterand slow-release magnesium source
manganese hydroxide,inorganic,5.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, low," ""Source of manganese for plant growth""",Insoluble in waterand use as soil amendment
molybdenum phosphate,inorganic,5.5,0.02,0,1000,0,0,0,0,0,0,0,0,0,0,300000,0,0,0, neutral,50, low," ""Provides molybdenum and phosphorus""",Insoluble in waterand slow-release molybdenum source
boron oxide,inorganic,5.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, medium," ""Supplies boron for growth processes""",Very solubleand use extreme caution due to high toxicity
magnesium gluconate,inorganic,5.5,0.03,0,0,0,0,110000,0,0,0,0,0,0,0,0,0,0,0, neutral,40, medium," ""Easily absorbed magnesium for plant health""",Soluble magnesium sourceand good for correcting deficiencies
molybdenum carbonate,inorganic,5.5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,390000,0,0,0, neutral,50, medium," ""Source of molybdenum for enzyme function""",Micronutrientand insoluble in waterand use as soil amendment
zinc citrate,inorganic,5.5,0.03,0,0,0,0,0,0,0,0,0,0,310000,0,0,0,0,0, neutral,40, medium," ""Easily absorbed zinc source""",Chelated zincand improves micronutrient uptakeand research application rates
zinc gluconate,inorganic,5.5,0,0,0,0,0,0,0,0,0,0,0,140000,0,0,0,0,0, neutral,40, medium," ""Easily absorbed zinc for plants""",Micronutrientand solubleand follow label rates to avoid toxicity
blood and bone meal mix,organic,6,0.03,80000,10000,2000,2500,100,10000,2,0,5,300,90,0,0.1,0.8,0.5,0, high,35, low," ""High nitrogen and phosphorus for strong growth""",Organic source of Nand Pand and calciumand follow label rates
feather meal,organic,6,0.01,120000,0,0,0,0,0,1,0,5,0,0,0,0,0.4,0.1,0, high,35, low," ""Slow-release nitrogen source""",Slow-release nitrogen sourceand use moderately due to high nitrogen content
cobalt chloride,inorganic,6,0.02,0,0,0,0,0,0,0,481000,0,0,0,0,0,0,256,0, low,50, highly," ""Supplies cobalt for plant metabolism""",Micronutrientand solubleand follow label rates to avoid toxicity
ferrous sulfate,inorganic,6,0.01,0,0,0,0,0,200000,0,0,0,200000,0,0,0,0,0,0, low,50, highly," ""Supplies iron for chlorophyll production""",Iron sulfateand source of ironand good for correcting deficiencies
manganese sulfate,inorganic,6,0,0,0,0,0,0,200000,0,0,0,0,0,310000,0,0,0,0, low,50, highly," ""Source of manganese for enzyme function""",Micronutrientand solubleand follow label rates to avoid toxicity
nickel sulfate,inorganic,6,0,0,0,0,0,0,180000,0,0,0,0,0,0,0,5,0,0, low,50, highly," ""Source of nickel for enzyme activity""",Micronutrientand solubleand follow label rates to avoid toxicity
cottonseed meal,organic,6,0.02,60000,6000,40000,1000,200,0,5,0,20,50,20,5,0.1,0.9,0.2,20, low,35, insoluble," ""Adds organic matter and nitrogen""",Nitrogen sourceand slow-releaseand use moderately due to gossypol content
copper carbonate,inorganic,6,0.01,0,0,0,0,0,0,310000,0,0,0,0,0,0,0,0,0, low,50, low," ""Provides copper for enzyme function""",Fungicideand insoluble in waterand use as soil drench
iron citrate,inorganic,6,0.04,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0, low,40, medium," ""Supplies iron for plant health""",Chelated ironand improves micronutrient uptakeand research application rates
